year,site,yearsite,colour,surv,hatch_date,max_date,treatment,age_at_death,hatch_date_in_july,clutch_size
2013,4,20134,black,1,15/07/2013,23/09/2013,1,NA,15,4
2013,4,20134,blue,1,14/07/2013,22/09/2013,1,NA,14,4
2013,4,20134,green,1,13/07/2013,21/09/2013,1,NA,13,4
2013,4,20134,red,1,12/07/2013,20/09/2013,1,NA,12,4
2013,7,20137,black,1,14/07/2013,22/09/2013,0,NA,14,4
2013,7,20137,blue,1,11/07/2013,19/09/2013,0,NA,11,4
2013,7,20137,green,1,10/07/2013,18/09/2013,0,NA,10,4
2013,7,20137,red,1,10/07/2013,18/09/2013,0,NA,10,4
2013,8,20138,black,1,17/07/2013,25/09/2013,0,NA,17,4
2013,8,20138,blue,1,16/07/2013,24/09/2013,0,NA,16,4
2013,8,20138,green,1,14/07/2013,22/09/2013,0,NA,14,4
2013,8,20138,red,1,13/07/2013,21/09/2013,0,NA,13,4
2015,1,20151,blue,0,17/07/2015,31/07/2015,0,14,17,3
2015,1,20151,green,0,16/07/2015,31/07/2015,0,15,16,3
2015,1,20151,red,1,15/07/2015,23/09/2015,0,NA,15,3
2015,4,20154,blue,1,13/07/2015,21/09/2015,1,NA,13,3
2015,4,20154,green,1,12/07/2015,20/09/2015,1,NA,12,3
2015,4,20154,red,1,11/07/2015,19/09/2015,1,NA,11,3
2015,8,20158,blue,1,14/07/2015,22/09/2015,1,NA,14,4
2015,8,20158,green,1,14/07/2015,22/09/2015,1,NA,14,4
2015,8,20158,red,1,13/07/2015,21/09/2015,1,NA,13,4
2016,1,20161,black,0,17/07/2016,26/07/2016,1,9,17,4
2016,1,20161,blue,1,14/07/2016,22/09/2016,1,NA,14,4
2016,1,20161,green,1,15/07/2016,23/09/2016,1,NA,15,4
2016,1,20161,red,1,14/07/2016,22/09/2016,1,NA,14,4
2016,3,20163,blue,0,16/07/2016,03/08/2016,1,18,16,4
2016,3,20163,green,0,17/07/2016,03/08/2016,1,17,17,4
2016,3,20163,red,1,15/07/2016,23/09/2016,1,NA,15,4
2016,4,20164,blue,1,17/07/2016,25/09/2016,1,NA,17,4
2016,4,20164,red,1,15/07/2016,23/09/2016,1,NA,15,4
2016,8,20168,blue,1,08/07/2016,16/09/2016,0,NA,8,3
2016,8,20168,green,1,08/07/2016,16/09/2016,0,NA,8,3
2016,8,20168,red,1,07/07/2016,15/09/2016,0,NA,7,3
2017,1,20171,black,0,11/07/2017,29/07/2017,1,18,11,4
2017,1,20171,blue,0,09/07/2017,29/07/2017,1,20,9,4
2017,1,20171,green,1,10/07/2017,18/09/2017,1,NA,10,4
2017,1,20171,red,1,09/07/2017,17/09/2017,1,NA,9,4
2017,5,20175,black,1,19/07/2017,27/09/2017,1,NA,19,4
2017,5,20175,blue,1,16/07/2017,24/09/2017,1,NA,16,4
2017,5,20175,green,1,17/07/2017,25/09/2017,1,NA,17,4
2017,5,20175,red,1,15/07/2017,23/09/2017,1,NA,15,4
2017,8,20178,blue,1,07/07/2017,15/09/2017,0,NA,7,4
2017,8,20178,red,1,05/07/2017,13/09/2017,0,NA,5,4
2013,19,201319,black,1,12/07/2013,20/09/2013,1,NA,12,4
2013,19,201319,blue,1,09/07/2013,17/09/2013,1,NA,9,4
2013,19,201319,green,1,09/07/2013,17/09/2013,1,NA,9,4
2013,19,201319,red,1,09/07/2013,17/09/2013,1,NA,9,4
2013,22,201322,blue,0,19/07/2013,21/07/2013,0,2,19,3
2013,22,201322,green,0,17/07/2013,25/07/2013,0,8,17,3
2013,22,201322,red,0,16/07/2013,25/07/2013,0,9,16,3
2013,23,201323,blue,0,12/07/2013,18/07/2013,0,6,12,3
2013,23,201323,green,1,08/07/2013,16/09/2013,0,NA,8,3
2013,23,201323,red,1,07/07/2013,15/09/2013,0,NA,7,3
2013,28,201328,blue,1,14/07/2013,22/09/2013,1,NA,14,3
2013,28,201328,green,1,13/07/2013,21/09/2013,1,NA,13,3
2013,28,201328,red,1,12/07/2013,20/09/2013,1,NA,12,3
2013,31,201331,black,0,24/07/2013,11/08/2013,0,18,24,4
2013,31,201331,blue,1,21/07/2013,29/09/2013,0,NA,21,4
2013,31,201331,green,1,22/07/2013,30/09/2013,0,NA,22,4
2013,31,201331,red,1,20/07/2013,28/09/2013,0,NA,20,4
2013,33,201333,black,1,10/07/2013,18/09/2013,1,NA,10,4
2013,33,201333,blue,1,11/07/2013,19/09/2013,1,NA,11,4
2013,33,201333,green,1,11/07/2013,19/09/2013,1,NA,11,4
2013,33,201333,red,1,09/07/2013,17/09/2013,1,NA,9,4
2013,35,201335,green,1,19/07/2013,27/09/2013,0,NA,19,2
2013,35,201335,red,1,16/07/2013,24/09/2013,0,NA,16,2
2013,39,201339,blue,1,19/07/2013,27/09/2013,1,NA,19,3
2013,39,201339,green,1,16/07/2013,24/09/2013,1,NA,16,3
2013,39,201339,red,0,15/07/2013,24/07/2013,1,9,15,3
2013,67,201367,black,1,17/07/2013,25/09/2013,1,NA,17,4
2013,67,201367,blue,1,15/07/2013,23/09/2013,1,NA,15,4
2013,67,201367,green,0,18/07/2013,21/07/2013,1,3,18,4
2013,67,201367,red,1,14/07/2013,22/09/2013,1,NA,14,4
2013,72,201372,black,1,16/07/2013,24/09/2013,0,NA,16,4
2013,72,201372,blue,1,16/07/2013,24/09/2013,0,NA,16,4
2013,72,201372,green,0,16/07/2013,20/07/2013,0,4,16,4
2013,72,201372,red,1,16/07/2013,24/09/2013,0,NA,16,4
2013,75,201375,green,1,10/07/2013,18/09/2013,0,NA,10,3
2013,75,201375,red,1,10/07/2013,18/09/2013,0,NA,10,3
2013,77,201377,blue,1,19/07/2013,27/09/2013,0,NA,19,3
2013,77,201377,green,1,17/07/2013,25/09/2013,0,NA,17,3
2013,77,201377,red,1,16/07/2013,24/09/2013,0,NA,16,3
2013,79,201379,black,0,24/07/2013,01/08/2013,1,8,24,4
2013,79,201379,blue,0,19/07/2013,26/07/2013,1,7,19,4
2013,79,201379,green,1,19/07/2013,27/09/2013,1,NA,19,4
2013,79,201379,red,1,17/07/2013,25/09/2013,1,NA,17,4
2013,85,201385,green,1,22/07/2013,30/09/2013,1,NA,22,4
2013,85,201385,red,1,20/07/2013,28/09/2013,1,NA,20,4
2013,98,201398,black,0,13/07/2013,30/07/2013,0,17,13,4
2013,98,201398,blue,0,11/07/2013,20/07/2013,0,9,11,4
2013,98,201398,green,0,10/07/2013,20/07/2013,0,10,10,4
2013,98,201398,red,0,10/07/2013,17/07/2013,0,7,10,4
2014,12,201412,black,0,11/07/2014,23/07/2014,0,12,11,4
2014,12,201412,blue,1,09/07/2014,17/09/2014,0,NA,9,4
2014,12,201412,green,1,10/07/2014,18/09/2014,0,NA,10,4
2014,12,201412,red,0,11/07/2014,18/07/2014,0,7,11,4
2014,20,201420,black,0,16/07/2014,06/08/2014,0,21,16,4
2014,20,201420,blue,1,11/07/2014,19/09/2014,0,NA,11,4
2014,20,201420,green,1,12/07/2014,20/09/2014,0,NA,12,4
2014,20,201420,red,1,13/07/2014,21/09/2014,0,NA,13,4
2014,28,201428,black,0,15/07/2014,28/07/2014,0,13,15,4
2014,28,201428,blue,1,11/07/2014,19/09/2014,0,NA,11,4
2014,28,201428,green,0,11/07/2014,01/08/2014,0,21,11,4
2014,28,201428,red,1,12/07/2014,20/09/2014,0,NA,12,4
2014,33,201433,blue,1,11/07/2014,19/09/2014,0,NA,11,4
2014,33,201433,green,0,11/07/2014,04/08/2014,0,24,11,4
2014,33,201433,red,0,12/07/2014,04/08/2014,0,23,12,4
2014,35,201435,black,0,18/07/2014,20/07/2014,1,2,18,4
2014,35,201435,blue,1,16/07/2014,24/09/2014,1,NA,16,4
2014,35,201435,green,0,16/07/2014,08/08/2014,1,23,16,4
2014,35,201435,red,0,17/07/2014,19/07/2014,1,2,17,4
2014,44,201444,blue,1,14/07/2014,22/09/2014,0,NA,14,4
2014,44,201444,green,0,14/07/2014,05/08/2014,0,22,14,4
2014,44,201444,red,0,16/07/2014,20/07/2014,0,4,16,4
2014,47,201447,black,1,14/07/2014,22/09/2014,1,NA,14,4
2014,47,201447,blue,1,12/07/2014,20/09/2014,1,NA,12,4
2014,47,201447,green,1,12/07/2014,20/09/2014,1,NA,12,4
2014,47,201447,red,1,13/07/2014,21/09/2014,1,NA,13,4
2014,50,201450,black,0,15/07/2014,07/08/2014,1,23,15,4
2014,50,201450,blue,1,11/07/2014,19/09/2014,1,NA,11,4
2014,50,201450,green,1,12/07/2014,20/09/2014,1,NA,12,4
2014,50,201450,red,1,13/07/2014,21/09/2014,1,NA,13,4
2014,51,201451,black,0,12/07/2014,14/07/2014,1,2,12,4
2014,51,201451,blue,1,10/07/2014,18/09/2014,1,NA,10,4
2014,51,201451,green,1,10/07/2014,18/09/2014,1,NA,10,4
2014,51,201451,red,1,11/07/2014,19/09/2014,1,NA,11,4
2014,59,201459,blue,1,16/07/2014,24/09/2014,0,NA,16,4
2014,59,201459,green,0,17/07/2014,19/07/2014,0,2,17,4
2014,59,201459,red,1,18/07/2014,26/09/2014,0,NA,18,4
2014,67,201467,blue,0,11/07/2014,05/08/2014,1,25,11,4
2014,67,201467,green,0,11/07/2014,05/08/2014,1,25,11,4
2014,67,201467,red,1,12/07/2014,20/09/2014,1,NA,12,4
2014,72,201472,blue,0,15/07/2014,31/07/2014,0,16,15,3
2014,72,201472,green,0,16/07/2014,11/08/2014,0,26,16,3
2014,72,201472,red,0,16/07/2014,27/07/2014,0,11,16,3
2014,75,201475,black,0,13/07/2014,18/07/2014,0,5,13,4
2014,75,201475,blue,0,10/07/2014,18/07/2014,0,8,10,4
2014,75,201475,green,0,11/07/2014,18/07/2014,0,7,11,4
2014,75,201475,red,0,12/07/2014,18/07/2014,0,6,12,4
2014,76,201476,black,0,14/07/2014,29/07/2014,1,15,14,4
2014,76,201476,blue,1,15/07/2014,23/09/2014,1,NA,15,4
2014,76,201476,green,1,15/07/2014,23/09/2014,1,NA,15,4
2014,76,201476,red,0,15/07/2014,07/08/2014,1,23,15,4
2014,77,201477,black,0,11/07/2014,21/07/2014,0,10,11,4
2014,77,201477,blue,1,08/07/2014,16/09/2014,0,NA,8,4
2014,77,201477,green,1,08/07/2014,16/09/2014,0,NA,8,4
2014,77,201477,red,1,09/07/2014,17/09/2014,0,NA,9,4
2014,78,201478,black,0,10/07/2014,04/08/2014,0,25,10,4
2014,78,201478,blue,1,09/07/2014,17/09/2014,0,NA,9,4
2014,78,201478,green,1,10/07/2014,18/09/2014,0,NA,10,4
2014,78,201478,red,0,10/07/2014,03/08/2014,0,24,10,4
2014,79,201479,blue,1,10/07/2014,18/09/2014,1,NA,10,4
2014,79,201479,green,0,12/07/2014,07/08/2014,1,26,12,4
2014,79,201479,red,1,13/07/2014,21/09/2014,1,NA,13,4
2014,85,201485,black,0,16/07/2014,04/08/2014,1,19,16,4
2014,85,201485,blue,1,13/07/2014,21/09/2014,1,NA,13,4
2014,85,201485,green,1,13/07/2014,21/09/2014,1,NA,13,4
2014,85,201485,red,1,13/07/2014,21/09/2014,1,NA,13,4
2014,88,201488,blue,1,09/07/2014,17/09/2014,0,NA,9,4
2014,88,201488,green,1,12/07/2014,20/09/2014,0,NA,12,4
2014,97,201497,blue,1,13/07/2014,21/09/2014,1,NA,13,3
2014,97,201497,green,1,14/07/2014,22/09/2014,1,NA,14,3
2015,12,201512,blue,1,10/07/2015,18/09/2015,1,NA,10,4
2015,12,201512,green,1,11/07/2015,19/09/2015,1,NA,11,4
2015,12,201512,red,1,10/07/2015,18/09/2015,1,NA,10,4
2015,19,201519,black,0,21/07/2015,04/08/2015,0,14,21,4
2015,19,201519,blue,1,21/07/2015,29/09/2015,0,NA,21,4
2015,19,201519,green,1,21/07/2015,29/09/2015,0,NA,21,4
2015,19,201519,red,1,21/07/2015,29/09/2015,0,NA,21,4
2015,20,201520,blue,1,14/07/2015,22/09/2015,1,NA,14,4
2015,20,201520,green,1,15/07/2015,23/09/2015,1,NA,15,4
2015,20,201520,red,1,14/07/2015,22/09/2015,1,NA,14,4
2015,30,201530,blue,0,18/07/2015,10/08/2015,1,23,18,3
2015,30,201530,green,1,16/07/2015,24/09/2015,1,NA,16,3
2015,30,201530,red,1,16/07/2015,24/09/2015,1,NA,16,3
2015,33,201533,green,1,13/07/2015,21/09/2015,1,NA,13,3
2015,33,201533,red,1,13/07/2015,21/09/2015,1,NA,13,3
2015,35,201535,black,0,21/07/2015,25/07/2015,0,4,21,4
2015,35,201535,blue,0,18/07/2015,27/07/2015,0,9,18,4
2015,35,201535,green,0,18/07/2015,27/07/2015,0,9,18,4
2015,35,201535,red,0,18/07/2015,27/07/2015,0,9,18,4
2015,39,201539,blue,1,15/07/2015,23/09/2015,0,NA,15,4
2015,39,201539,green,1,14/07/2015,22/09/2015,0,NA,14,4
2015,39,201539,red,1,14/07/2015,22/09/2015,0,NA,14,4
2015,53,201553,black,0,22/07/2015,04/08/2015,0,13,22,4
2015,53,201553,blue,0,19/07/2015,04/08/2015,0,16,19,4
2015,53,201553,green,0,18/07/2015,04/08/2015,0,17,18,4
2015,53,201553,red,0,17/07/2015,04/08/2015,0,18,17,4
2015,59,201559,blue,1,20/07/2015,28/09/2015,1,NA,20,4
2015,59,201559,green,1,19/07/2015,27/09/2015,1,NA,19,4
2015,59,201559,red,1,18/07/2015,26/09/2015,1,NA,18,4
2015,67,201567,black,0,15/07/2015,24/07/2015,0,9,15,4
2015,67,201567,blue,0,14/07/2015,26/07/2015,0,12,14,4
2015,67,201567,green,0,14/07/2015,28/07/2015,0,14,14,4
2015,67,201567,red,0,14/07/2015,26/07/2015,0,12,14,4
2015,72,201572,blue,1,16/07/2015,24/09/2015,1,NA,16,3
2015,72,201572,green,1,15/07/2015,23/09/2015,1,NA,15,3
2015,72,201572,red,1,14/07/2015,22/09/2015,1,NA,14,3
2015,75,201575,blue,0,17/07/2015,28/07/2015,0,11,17,3
2015,75,201575,green,0,15/07/2015,02/08/2015,0,18,15,3
2015,75,201575,red,1,14/07/2015,22/09/2015,0,NA,14,3
